experiment algorithm attack_edges_type social_network_type AUC AUC_std AUC_0 AUC_1 AUC_2 AUC_3 AUC_4 accuracy accuracy_std accuracy_0 accuracy_1 accuracy_2 accuracy_3 accuracy_4 F1 F1_std F1_0 F1_1 F1_2 F1_3 F1_4
facebook-random SybilBelief random Facebook 0.6272350285204137 0.04012393364639075 0.6118221470025343 0.6163955564897485 0.7054411307772602 0.5905621560108534 0.6119541523216718 0.603859281140667 0.009654865281918145 0.620480185131617 0.6045737443913736 0.604947200925792 0.5916124367317426 0.5976828385228096 0.5349271108777798 0.16441955236083444 0.4116591928251121 0.7177102707170903 0.5256209831509466 0.30340404538727184 0.7162410623084781
facebook-random SybilSCAR random Facebook 0.6264764904076914 0.01747770751835626 0.6417952153075294 0.6409295482778288 0.6318595400364049 0.623678937914357 0.5941192105023374 0.547832602811287 0.006962966188544359 0.5535146080416546 0.5526125343754523 0.5452046868219297 0.5525668835864064 0.535264301230992 0.4969922622539695 0.11769800494543867 0.4161149990542841 0.626374954671824 0.4554901281607205 0.3447691656077933 0.6422120637752258
facebook-targeted SybilGAT_L2 targeted Facebook 0.7738870435690538 0.02013293891399218 0.7428659001071666 0.7809539951317359 0.7911877065602944 0.7958279872568805 0.7585996287891914 0.6550792911253838 0.02798597390378494 0.6508944027697634 0.6483167172373935 0.7086523183590929 0.6398611512872433 0.6276718659734257 0.555985467524778 0.09512105241472217 0.6682204551686317 0.5282945736434108 0.6664461716553663 0.4766708701134931 0.4402952670429874
facebook-targeted SybilGAT_L4 targeted Facebook 0.594188433256369 0.03316588544812831 0.5651672295359755 0.6204752345793537 0.6344749888018595 0.6040354674310642 0.5467892459335921 0.5127833767351292 0.03333591897984948 0.47749567224466244 0.5478977026441265 0.5487505416726852 0.5188024298524733 0.47097053726169846 0.49090974356403344 0.02903894882395888 0.4770430262777938 0.49047386419149974 0.5299428227505266 0.5116688683399383 0.44542013626040877
facebook-targeted SybilGAT_L8 targeted Facebook 0.4282313185464643 0.016582946533157915 0.4155240934192563 0.4443002192005121 0.45197912000774787 0.4112220544398676 0.4181311056649373 0.5596818314085176 0.022364919068386214 0.5438545874206578 0.5744834561479555 0.5708507872309693 0.5241538906566388 0.5850664355863663 0.3282863851264736 0.19667579453989256 0.29982285208148807 0.2613493855028844 0.6886070642490305 0.08813747228381374 0.3035151515151515
facebook-targeted SybilRank targeted Facebook 0.4970774663140361 0.020723788141450233 0.4802691331429293 0.5111662117959687 0.5298759578949916 0.49035224559422513 0.47372378314206565 0.4956886550937757 0.022877744045627212 0.5007212925562609 0.4927033665655252 0.5364726274736386 0.4732426959791727 0.47530329289428075 0.4931541523011398 0.022032739132950587 0.4978964166545771 0.48945761233095825 0.5326925877384593 0.4714078374455733 0.4743163073361308
facebook-targeted SybilBelief targeted Facebook 0.5716198712844365 0.010910451101113657 0.5595947401504933 0.5763915676279358 0.5878719598561796 0.5749690660215916 0.5592720227659821 0.5831761915943666 0.004460608934742375 0.5804962492787075 0.5788180898714058 0.5893398815542394 0.5877928840034712 0.5794338532640092 0.28662526068074384 0.008600317217743087 0.27190786179268905 0.2891977566447208 0.29331344767586376 0.2959486166007905 0.2827586206896552
facebook-targeted SybilSCAR targeted Facebook 0.5028967510510659 0.011715138761179371 0.4976561655904105 0.5029526619204749 0.5168443488735276 0.5131068216061638 0.48392375726475295 0.5056654213992677 0.0051317635016685185 0.5040392383150606 0.5039734142464962 0.5054167268525206 0.5151865779577669 0.49971114962449453 0.016570795689394825 0.019522497366419575 0.008078476630121177 0.0 0.0069605568445475635 0.05470953186689227 0.013105413105413105
synthetic-S-random SybilGAT_L2 random PowerLaw-Small 0.6218723774353828 0.011655134858618523 0.623079723093654 0.6023746045403977 0.6371537061044358 0.6288332839506173 0.6179205694878092 0.5121090935489033 0.011137562196086425 0.5080720636406177 0.5340032717924749 0.502983502983503 0.5090037418147801 0.506482887513141 0.09244568373209097 0.09727606514934926 0.07276736493936053 0.28350700682716495 0.02029520295202952 0.05491784830069773 0.03074099564120211
synthetic-S-random SybilGAT_L4 random PowerLaw-Small 0.594055175116134 0.012283099948582347 0.6002820560063593 0.5749195204153551 0.608641873311975 0.6014395308641975 0.5849928949827837 0.5266830023915542 0.011129267060497617 0.5173139915769771 0.5196307548492638 0.5482625482625483 0.5229186155285314 0.5252891017404508 0.3968465305129628 0.16946614252492123 0.2270513300861746 0.6406782623896513 0.5258504236767776 0.20031360250882008 0.39033903390339036
