,honest_size,sybil_size,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
55,1000,4000,SybilGCN-L8,42,0.065666625,0.20863157894736842,0.759493670886076,0.015789473684210527,0.030935808197989172,58804,
56,1000,4000,SybilRGCN-L2,42,0.698233875,0.4477894736842105,0.9502677888293802,0.3268421052631579,0.4863912277266497,1004217,
57,1000,4000,SybilGAT-L2,42,0.577713875,0.33810526315789474,0.8813953488372093,0.1994736842105263,0.32532188841201715,9893,
58,1000,4000,SybilGAT-L4,42,0.568972875,0.3625263157894737,0.9628297362110312,0.2113157894736842,0.3465688390159689,62991,
59,1000,4000,SybilGAT-L8,42,0.5,0.2,inf,0.0,0.0,824057,
60,1000,4000,SybilRank,43,0.5113715,0.5054736842105263,0.8021657642648896,0.5068421052631579,0.6211901306240929,285,
61,1000,4000,SybilBelief,43,0.07577225,0.8,0.8,1.0,0.8888888888888888,148,
62,1000,4000,SybilSCAR,43,0.578893,0.8,0.8,1.0,0.8888888888888888,101,
63,1000,4000,SybilGCN-L2,43,0.5291606249999999,0.24989473684210525,0.8714733542319749,0.0731578947368421,0.13498421947074532,16298,
64,1000,4000,SybilGCN-L4,43,0.10600875000000001,0.4130526315789474,0.6741225051617343,0.5155263157894737,0.5842529078437221,84754,
65,1000,4000,SybilGCN-L8,43,0.066849625,0.2,inf,0.0,0.0,53783,
66,1000,4000,SybilRGCN-L2,43,0.7358843750000001,0.23684210526315788,0.9943502824858758,0.04631578947368421,0.08850892632637666,17515,
67,1000,4000,SybilGAT-L2,43,0.5834815,0.36926315789473685,0.8589285714285714,0.2531578947368421,0.3910569105691057,6719,
68,1000,4000,SybilGAT-L4,43,0.6291798749999999,0.48757894736842106,0.8807134894091416,0.41578947368421054,0.5648909545942081,1046023,
69,1000,4000,SybilGAT-L8,43,0.5,0.2,inf,0.0,0.0,1129200,
70,1000,4000,SybilRank,44,0.47076974999999993,0.4751578947368421,0.7737746124842899,0.48605263157894735,0.5970583481493454,286,
71,1000,4000,SybilBelief,44,0.07173725,0.8,0.8,1.0,0.8888888888888888,146,
72,1000,4000,SybilSCAR,44,0.546666,0.8,0.8,1.0,0.8888888888888888,100,
73,1000,4000,SybilGCN-L2,44,0.532395875,0.2501052631578947,0.858433734939759,0.075,0.13794772507260405,16206,
74,1000,4000,SybilGCN-L4,44,0.09897987500000001,0.20778947368421052,0.6225165562913907,0.024736842105263158,0.04758289040749177,528461,
75,1000,4000,SybilGCN-L8,44,0.06153525,0.2,inf,0.0,0.0,51400,
76,1000,4000,SybilRGCN-L2,44,0.7310995,0.22147368421052632,1.0,0.026842105263157896,0.05228088159917991,15388,
77,1000,4000,SybilGAT-L2,44,0.5424846249999999,0.4957894736842105,0.7990634312473393,0.49394736842105263,0.6105057732964709,5995,
78,1000,4000,SybilGAT-L4,44,0.6341326250000001,0.47747368421052633,0.9139447236180904,0.3828947368421053,0.5396884272997032,1116435,
79,1000,4000,SybilGAT-L8,44,0.5,0.2,inf,0.0,0.0,777072,
80,1000,4000,SybilRank,45,0.45982825000000005,0.47157894736842104,0.7694235588972431,0.48473684210526313,0.5947691314175008,278,
81,1000,4000,SybilBelief,45,0.076101,0.8,0.8,1.0,0.8888888888888888,149,
82,1000,4000,SybilSCAR,45,0.55098525,0.8,0.8,1.0,0.8888888888888888,104,
83,1000,4000,SybilGCN-L2,45,0.5149373749999999,0.24042105263157895,0.9033613445378151,0.056578947368421055,0.10648836057454185,14648,
84,1000,4000,SybilGCN-L4,45,0.09488575,0.15936842105263158,0.35176651305683565,0.060263157894736845,0.10289822511795102,25198,
85,1000,4000,SybilGCN-L8,45,0.068532125,0.204,0.8275862068965517,0.00631578947368421,0.012535910159310526,46641,
86,1000,4000,SybilRGCN-L2,45,0.70526175,0.29936842105263156,0.9664031620553359,0.1286842105263158,0.227124941941477,15150,
87,1000,4000,SybilGAT-L2,45,0.715405125,0.4696842105263158,0.9402061855670103,0.36,0.5206470028544243,7922,
88,1000,4000,SybilGAT-L4,45,0.583945125,0.3762105263157895,0.941921858500528,0.23473684210526316,0.37581630503475877,103650,
89,1000,4000,SybilGAT-L8,45,0.5,0.2,inf,0.0,0.0,996559,
90,1000,4000,SybilRank,46,0.44202575,0.46589473684210525,0.7641154328732748,0.48078947368421054,0.5902115974802132,281,
91,1000,4000,SybilBelief,46,0.07162275,0.8,0.8,1.0,0.8888888888888888,145,
92,1000,4000,SybilSCAR,46,0.59032975,0.8,0.8,1.0,0.8888888888888888,99,
93,1000,4000,SybilGCN-L2,46,0.5399785,0.2343157894736842,0.893719806763285,0.04868421052631579,0.09233840778637385,12644,
94,1000,4000,SybilGCN-L4,46,0.08640250000000001,0.12463157894736843,0.3231225296442688,0.08605263157894737,0.13591022443890274,21701,
95,1000,4000,SybilGCN-L8,46,0.065273125,0.2,inf,0.0,0.0,363084,
96,1000,4000,SybilRGCN-L2,46,0.7455468749999999,0.2578947368421053,0.9963898916967509,0.07263157894736842,0.13539367181751288,15706,
97,1000,4000,SybilGAT-L2,46,0.6803787499999999,0.7098947368421052,0.8267674042093902,0.8063157894736842,0.8164135358379963,5481,
98,1000,4000,SybilGAT-L4,46,0.64867875,0.44526315789473686,0.9416224412433661,0.3268421052631579,0.48525102559093575,75257,
99,1000,4000,SybilGAT-L8,46,0.5,0.2,inf,0.0,0.0,640049,
100,1000,6000,SybilRank,42,0.4608380000000001,0.4774436090225564,0.8317924246943036,0.48929824561403507,0.6161493427593063,395,
101,1000,6000,SybilBelief,42,0.0375415,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,206,
102,1000,6000,SybilSCAR,42,0.5525105,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,864,
