Unnamed: 0,variant,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
19,barabasi-albert,SybilGAT_L8,0.8321784127407288,0.0073760563619606,0.6952566753130637,0.0312690378277496,0.8098789420864557,0.0725628532502889,0.5412677640618224,0.1700258370457932,0.6241286986890828,0.0935467366418022,395.8,18.312837027615355,642.2,136.89178207620793
20,power-law,SybilRank,0.5114592131359487,0.0515019356979888,0.4930566176673762,0.0377422842373489,0.4919803651900391,0.0391989848109849,0.4972594788344171,0.0377720371788103,0.4945963827195079,0.0384438303901567,369.0,1.8973665961010275,,
21,power-law,SybilBelief,0.5123583946034367,0.0077050567698676,0.50114918486588,0.0037952255253749,inf,,0.0,0.0,0.0,0.0,232.8,34.34181125101004,,
22,power-law,SybilSCAR,0.5995153127703056,0.0177350935453143,0.5235444853573322,0.0169528535246515,0.5394887777570211,0.0325548665830319,0.245822623537222,0.1031227417711404,0.3271459052445468,0.1068721922313749,136.0,2.0,,
23,power-law,SybilGCN_L2_noDropout,0.7327008450618381,0.0175131181565909,0.511859082382874,0.0067737998010363,0.9065942724990718,0.0400061879774691,0.0240100048769973,0.010720198377897,0.0465444584547476,0.020257874759484,120.0,3.286335345030997,3638.0,85.77179023431889
24,power-law,SybilGCN_L4_noDropout,0.7520427498721995,0.0210137323916948,0.6039768917923926,0.0388090162362561,0.7532118295780414,0.0300604133589064,0.3106429381570305,0.1237514627903968,0.4262955384262312,0.1054597563475274,129.0,5.692099788303083,5664.4,53.50738266818888
25,power-law,SybilGCN_L8_noDropout,0.5511606333263023,0.0782259136751616,0.53170626782164,0.0535032126440297,0.5295567400983163,0.0510194647971908,0.6905124791149555,0.1396691961638944,0.5902508432431647,0.0609885609930547,158.4,7.578918128598567,10244.8,101.0987635928353
26,power-law,SybilRGCN_L2_noDropout,0.6084439093520366,0.0433041776129696,0.5089433927949978,0.0257361403319554,0.5368218547910603,0.0749543107327977,0.2066211158370756,0.069977103365537,0.2888080300049312,0.0705449350046028,829.8,5.075431016179809,3990.2,56.9434807506531
27,power-law,SybilGAT_L2,0.7326102097756751,0.01748943003875,0.522093992334062,0.0093114458491343,0.8895165620216094,0.0823612135085613,0.0506827707450489,0.0303401330081216,0.093798490572903,0.0540384142634733,163.6,7.4993333037010705,728.8,222.5941598515109
28,power-law,SybilGAT_L4,0.7532919153179758,0.017022509203957,0.6182279422721202,0.0280040297230437,0.7511734436083641,0.0304696923599648,0.3562697824724806,0.0856541729292878,0.475774745216754,0.0791119050612546,242.4,7.578918128598567,625.0,276.6853808931726
29,power-law,SybilGAT_L8,0.739220413621605,0.0154932771888341,0.6571863936672623,0.0094341754687234,0.6778501861636935,0.0295719277933057,0.6076211843784686,0.0744580587737132,0.6365369880608087,0.0308310054607512,379.6,6.343500610861482,589.2,103.404835476877
