,attack,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
30,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilRank,0.9912246,0.0016309667807776203,0.9575789473684211,0.004138863842386828,0.9637282472611556,0.0040003804419496015,0.9509473684210527,0.004446044648830097,0.9572946496836778,0.0041772182785104585,127.6,1.019803902718557,,
31,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilBelief,0.5066946999999999,0.00581414259027074,0.5,0.0,inf,,0.0,0.0,0.0,0.0,147.4,37.00054053659216,,
32,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilSCAR,0.8068874000000001,0.027043533900731234,0.5673684210526316,0.06580336695407825,0.9475825434588321,0.05489997252632978,0.15389473684210528,0.15980514450582095,0.22876477836533216,0.21204408349556694,101.0,57.39686402583333,,
33,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilGCN-L2,0.8661037,0.01208808916909529,0.5078947368421053,0.004049554539299212,0.9923076923076923,0.015384615384615375,0.016,0.008352351336790473,0.03135237799488829,0.016187134400162836,12595.8,504.62160080599006,,
34,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilGCN-L4,0.9389758,0.013054988217535814,0.721578947368421,0.06977764446862637,0.9770019443187671,0.021948746945808287,0.4568421052631579,0.15104437901535087,0.6050752947993923,0.1486546161273289,20843.0,1129.0640371564405,,
35,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilGCN-L8,0.7373885,0.061907587502663994,0.6316842105263157,0.050806678296822234,0.7289447368077401,0.14786033212412128,0.5492631578947369,0.25486677851819717,0.5591476937495455,0.17619656736760414,4010.2,2962.1253450858553,,
36,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilRGCN-L2,0.8615296000000001,0.028913403892312613,0.5434736842105263,0.05561103539422483,0.9548863636363636,0.0704211797826724,0.0928421052631579,0.11624675255345578,0.15025910040675447,0.1695725075891863,12390.6,625.9861340317372,,
37,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilGAT-L2,0.8747668,0.03463484175306711,0.5552631578947369,0.08060367800905399,0.9411290322580644,0.11774193548387095,0.172,0.28340361085949384,0.19097968481635788,0.268498517230765,2769.6,763.0618847773751,,
38,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilGAT-L4,0.9750044000000001,0.006258025498509848,0.6874736842105263,0.11701381408611812,0.9721433181032035,0.054372089228346916,0.4052631578947369,0.28990169314743697,0.5098773950850578,0.23681442124421784,2910.6,826.6642849428056,,
39,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",8,SybilGAT-L8,0.7960768,0.3938079694560027,0.8328421052631579,0.17085757299372914,inf,,0.6738947368421052,0.3474018484713771,0.7251991585897741,0.36561353123285406,3618.6,2065.6261617243326,,
40,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilRank,0.803363,0.12541451654892266,0.7333684210526317,0.10823110596851986,0.7347748239221776,0.10951611198051052,0.7317894736842105,0.10519871711718969,0.7332729028926857,0.10735244722400648,135.0,1.2649110640673518,,
41,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilBelief,0.5075138000000001,0.00981318620326752,0.5,0.0,inf,,0.0,0.0,0.0,0.0,94.0,11.009087155618309,,
42,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilSCAR,0.7146982000000001,0.03624703447400905,0.5243157894736843,0.024430125356427225,0.9376655052264808,0.055393946951456136,0.05515789473684211,0.0574918035829837,0.0977792232399814,0.09848108081475526,98.8,49.5233278364853,,
43,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilGCN-L2,0.8018139999999999,0.014724345961705724,0.5043157894736842,0.0031823613595433633,inf,,0.008842105263157896,0.006710474716003885,0.017433666202287305,0.013136008783291868,13214.8,356.0872926685253,,
44,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilGCN-L4,0.8572054,0.020630133965633835,0.6798947368421053,0.041552156592065376,0.898799113427366,0.07478827751334882,0.42484210526315785,0.14688431764515605,0.5548078260117688,0.11291182066088264,18316.8,5916.7995876149125,,
45,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilGCN-L8,0.5722756,0.020418897576509835,0.5206315789473683,0.014361382505846159,inf,,0.5774736842105263,0.30562780398817957,0.479775160809419,0.24315540014904752,5757.6,2656.1139734582175,,
46,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilRGCN-L2,0.804597,0.020401074314849253,0.5133684210526315,0.006347289865971109,0.9432900432900432,0.07253456353606053,0.02947368421052632,0.014796870223836278,0.05664174567619902,0.027710582025635255,13666.4,577.5581702304972,,
47,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilGAT-L2,0.7989263,0.055732134143239125,0.5426315789473685,0.04791381921765537,0.8674745041717518,0.13334427580607272,0.14400000000000002,0.1987957093903743,0.18561732274663506,0.21732911580173328,4123.0,1802.2225167830968,,
48,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilGAT-L4,0.9062104999999999,0.016214018610449386,0.6950526315789475,0.09481084828704246,0.9351712581070798,0.05068344862222385,0.43452631578947365,0.2336210440944208,0.548703463961245,0.2112432138251481,3159.2,998.5672536189037,,
49,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",10,SybilGAT-L8,0.5921348,0.45296076304593974,0.6553684210526315,0.1358251279180742,inf,,0.3145263157894737,0.2759432275304915,0.40478697532977365,0.3427758600778125,2484.0,536.4654695318236,,
50,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilRank,0.22553359999999997,0.0564351365395708,0.2811578947368421,0.05298450094810955,0.28440519915504797,0.05172666367590833,0.2884210526315789,0.05186814734633649,0.28639852996176873,0.05179870218419071,143.0,0.6324555320336759,,
51,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilBelief,0.5157681000000001,0.017159554007607557,0.5,0.0,inf,,0.0,0.0,0.0,0.0,83.6,6.529931086925803,,
52,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilSCAR,0.6342788,0.035449867324998545,0.5052631578947369,0.00568810782572896,0.9263333333333332,0.09150834813162011,0.013473684210526318,0.015447525328710856,0.025946246837897056,0.029452471071909517,103.0,47.467883879524265,,
53,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilGCN-L2,0.7544558,0.013058484879954538,0.502842105263158,0.002041128361017397,inf,,0.005684210526315789,0.004082256722034804,0.011271373375419863,0.008078600671980737,13650.0,231.55474514680108,,
54,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilGCN-L4,0.7699914,0.02580057157971506,0.6498947368421052,0.037609157840379825,0.7568760630140356,0.08212675696826653,0.4814736842105263,0.1643920723836885,0.5588211793155362,0.13321769756797674,16851.8,6932.50010890732,,
55,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilGCN-L8,0.5009949,0.013660749603883415,0.49757894736842107,0.004679181214924799,inf,,0.3334736842105263,0.2938055964951246,0.3089102093668986,0.25843638651995965,2835.0,1944.5139238380373,,
56,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilRGCN-L2,0.7509626,0.0369509070773642,0.5193684210526316,0.009322774663361918,0.9337704918032786,0.08398564011323469,0.04231578947368421,0.018893490649418587,0.08025353013129573,0.035377889982414416,13779.4,360.6636105847109,,
57,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilGAT-L2,0.7421256,0.06018431458395115,0.5229473684210526,0.026327576307708767,0.8790628609140405,0.17245589575212197,0.08273684210526315,0.08445385896232811,0.13301356667427505,0.13014638471672954,3291.6,1383.2756196796067,,
58,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilGAT-L4,0.8387657000000001,0.03213610792021958,0.6446315789473683,0.04540174621704309,0.8950829646048302,0.06064865763900578,0.33157894736842103,0.10728582994729184,0.47277462801025755,0.10949656313020266,3142.8,1231.802484167003,,
59,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",12,SybilGAT-L8,0.7416457000000001,0.32732488691414835,0.6421052631578947,0.23254344603456104,0.7533507983392014,0.32731626490300936,0.4842105263157895,0.2702710243307591,0.5654816512232714,0.2625298660701568,2778.6,422.05051830320025,,
60,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilRank,0.10406520000000001,0.012820551414038327,0.1685263157894737,0.008784272018957921,0.17298383915834328,0.009228564451514905,0.1753684210526316,0.009684210526315793,0.1741673598641714,0.00944918467683115,150.2,2.7129319932501073,,
61,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilBelief,0.5028443,0.010136289195755965,0.5,0.0,inf,,0.0,0.0,0.0,0.0,82.0,7.8230428862431785,,
62,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilSCAR,0.570532,0.033999720075318235,0.5006315789473684,0.001263157894736855,inf,,0.0025263157894736842,0.0036827064599022955,0.004997433867726755,0.007274896034901026,106.0,45.56753230097061,,
63,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilGCN-L2,0.7363136,0.012402082286454957,0.5013684210526316,0.0009761703679469101,inf,,0.003157894736842105,0.002306200242127015,0.006280988392045129,0.004580264656148369,13999.6,1049.716456953972,,
64,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilGCN-L4,0.7201158,0.020805629008996632,0.6268421052631579,0.014520975372259676,0.7044209926759389,0.06208505325668182,0.4762105263157895,0.14335991937077272,0.5487350092636418,0.07739480900217378,16526.8,7192.84865404521,,
65,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilGCN-L8,0.5030189,0.0052738901334783315,0.4926315789473684,0.006218549679049233,inf,,0.4837894736842106,0.3354422226919905,0.4050309611949123,0.24510185612365223,5223.0,3328.794676756138,,
66,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilRGCN-L2,0.7691825999999999,0.01622086380683845,0.5131578947368421,0.008407884441143501,0.9680272108843537,0.030901880010160233,0.027789473684210524,0.01816635958299337,0.0533477866717972,0.03430452105231696,14566.0,462.21856301970394,,
67,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilGAT-L2,0.7321381,0.03963906473720089,0.5204210526315789,0.01928758876408375,0.8506502271252433,0.17452374447341368,0.21200000000000002,0.36044208005557876,0.1822855397722219,0.2529093217407732,3009.0,1649.8781773209803,,
68,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilGAT-L4,0.7785030000000001,0.026088644052537455,0.6650526315789473,0.04217704407721591,0.752719227926905,0.03383803572102891,0.4985263157894737,0.1339129414966194,0.5871594857441431,0.10019694308851834,3114.4,1000.128711716647,,
69,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",14,SybilGAT-L8,0.8194388,0.03387269302343702,0.6716842105263158,0.047088529812356616,0.8525112241738203,0.10879635175557516,0.45726315789473687,0.18920753236779225,0.5565131395236771,0.14454061852755054,2404.2,371.3211009355649,,
70,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilRank,0.05625600000000001,0.010665577321458043,0.12200000000000003,0.007658934637297371,0.12348888372566777,0.008306929820350346,0.124,0.008613588440201592,0.12374347175088399,0.008457135028955736,158.4,2.5768197453450252,,
71,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilBelief,0.5201565,0.028939345913479072,0.5,0.0,inf,,0.0,0.0,0.0,0.0,79.6,1.3564659966250536,,
72,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilSCAR,0.5177388,0.032197825997417905,0.5001052631578947,0.0008421052631578787,inf,,0.0006315789473684211,0.0012631578947368421,0.0012591815320041973,0.0025183630640083945,93.8,42.611735472754454,,
73,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilGCN-L2,0.7392816,0.011259237977767397,0.504842105263158,0.00453243160876018,0.9642857142857142,0.05532833351724883,0.010105263157894737,0.009382012612697764,0.019825651023595913,0.018148574350562302,14332.6,533.4385062966489,,
74,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilGCN-L4,0.7141205000000002,0.014165232599572773,0.6438947368421053,0.011281342919215877,0.697895605835337,0.023059563019042613,0.512,0.05503401114103412,0.5882107411902826,0.030257356300399635,15850.6,6290.348022168567,,
75,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilGCN-L8,0.5016752,0.006763328962870298,0.4904210526315789,0.007823538600447178,inf,,0.484421052631579,0.29296565557460896,0.42372289982873834,0.22261086063826968,3618.0,2530.5662607408644,,
76,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilRGCN-L2,0.7634138,0.03102053632289424,0.511578947368421,0.007420865992427206,0.9638043478260869,0.03121212260250008,0.024421052631578948,0.015872064694712223,0.047122597247711596,0.030103714744080787,14227.4,346.9948702790864,,
77,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilGAT-L2,0.7561339,0.013863779417604723,0.5127368421052632,0.01220961884105183,inf,,0.027578947368421054,0.026749271872452365,0.052178472112852814,0.04919554421468137,3005.4,894.3526373863947,,
78,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilGAT-L4,0.8034576999999998,0.013075095879571926,0.6363157894736843,0.05290979099731451,0.8575178441335407,0.06807570377577633,0.3465263157894737,0.15985921784209342,0.46423111485337937,0.15883675235809322,4104.4,1196.8927437327038,,
79,"TargetedAttack(p_t=0.05, pdf=[0.25, 0.25, 0.5])",16,SybilGAT-L8,0.3559642,0.24591243671144405,0.5464210526315789,0.09576309642612396,inf,,0.312,0.38600021529137285,0.2714295973733882,0.3337694708017736,2913.2,625.1845807439591,,
80,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilRank,0.9999998,4.000000000115022e-07,0.9998947368421053,0.00021052631578948324,1.0,0.0,0.9997894736842106,0.0004210526315789665,0.9998946814112692,0.0002106371774618143,104.8,1.9390719429665315,,
81,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilBelief,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,65.6,3.7735924528226414,,
82,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilSCAR,0.9999509999999999,5.162557505733225e-05,0.9568421052631578,0.05605399059385377,0.9995793901156678,0.0008412197686645583,0.9141052631578948,0.11242302383448259,0.9509872516345776,0.06675118701551246,60.6,31.714980687366026,,
