,variant,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
94,BA-PL,SybilGCN_L4_noDropout,46,0.72324511,0.6232105263157894,0.6953763979302287,0.4385263157894737,0.5378606933057904,531,15346.0
95,BA-PL,SybilGCN_L8_noDropout,46,0.73267026,0.6443157894736842,0.6976073796483137,0.5094736842105263,0.5888794257208906,867,30441.0
96,BA-PL,SybilRGCN_L2_noDropout,46,0.6847173850000001,0.5232631578947369,0.8103932584269663,0.06073684210526316,0.11300430865648257,2948,10528.0
97,BA-PL,SybilGAT_L2,46,0.72859338,0.510578947368421,0.9547511312217195,0.022210526315789472,0.043411171690155334,636,2797.0
98,BA-PL,SybilGAT_L4,46,0.75090799,0.6574210526315789,0.6744837241862093,0.6085263157894737,0.6398096397543025,787,2501.0
99,BA-PL,SybilGAT_L8,46,0.73829276,0.6588947368421053,0.6296041899201511,0.7718947368421053,0.6935262685014423,1166,2158.0
100,BA-FB,SybilRank,42,0.3531302040804067,0.32660239708181343,0.32655720615063855,0.3264721208963002,0.32651465798045604,1311,
101,BA-FB,SybilBelief,42,0.693553034933415,0.643303804064617,0.5908190224570674,0.9322563835330901,0.7232666262381241,2169,
102,BA-FB,SybilSCAR,42,0.6096310538969483,0.5383011985409067,0.5250853242320819,0.8017196456487754,0.6345638275933182,868,
103,BA-FB,SybilGCN_L2_noDropout,42,0.8180900983913897,0.6956748306409588,0.8777665995975855,0.4546638874413757,0.5990387916237556,225,10088.0
104,BA-FB,SybilGCN_L4_noDropout,42,0.6908246233293229,0.5781657113079729,0.5954805856142584,0.48749348619072436,0.5361031518624642,286,16963.0
105,BA-FB,SybilGCN_L8_noDropout,42,0.5774612053400366,0.5807712350182387,0.5482265090230243,0.918186555497655,0.6865380868887591,337,27094.0
106,BA-FB,SybilRGCN_L2_noDropout,42,0.49846296210364405,0.48514851485148514,0.4899824253075571,0.7264200104220948,0.5852225020990764,3376,11033.0
107,BA-FB,SybilGAT_L2,42,0.7441006144534954,0.6367899947889526,0.7006880733944955,0.47759249609171445,0.5680198326619151,336,2295.0
108,BA-FB,SybilGAT_L4,42,0.5556583094477274,0.5445544554455446,0.5287009063444109,0.8207399687337155,0.6431196406696611,580,2417.0
109,BA-FB,SybilGAT_L8,42,0.42563205699125284,0.5849400729546639,0.9954407294832827,0.1706618030224075,0.29137010676156583,952,3079.0
110,BA-FB,SybilRank,43,0.4144405122597384,0.3899166232412715,0.3899452982547538,0.3900468994267848,0.3899960922235248,1337,
111,BA-FB,SybilBelief,43,0.6566341502855209,0.6164669098488796,0.5713146139119336,0.9330380406461699,0.7086879081733624,2210,
112,BA-FB,SybilSCAR,43,0.6263679067198307,0.5273579989577906,0.5191256830601093,0.7425742574257426,0.6110634648370498,880,
113,BA-FB,SybilGCN_L2_noDropout,43,0.8197710046776534,0.6937206878582595,0.8593523441275979,0.4632621156852527,0.6019976299305908,224,9207.0
114,BA-FB,SybilGCN_L4_noDropout,43,0.6689510498683882,0.6375716519020324,0.7386980108499096,0.42574257425742573,0.5401652892561983,276,17055.0
115,BA-FB,SybilGCN_L8_noDropout,43,0.5757290225696832,0.6050026055237102,0.9448123620309051,0.22303282959874934,0.3608768971332209,354,30795.0
116,BA-FB,SybilRGCN_L2_noDropout,43,0.7086971905084132,0.629755080771235,0.6688135593220339,0.5140698280354351,0.5813199764289924,3435,11601.0
117,BA-FB,SybilGAT_L2,43,0.7653294466596143,0.6388744137571651,0.600908746686861,0.8269932256383533,0.6960526315789474,347,2031.0
118,BA-FB,SybilGAT_L4,43,0.5859802430143682,0.6051328817092235,0.7561904761904762,0.3103178738926524,0.44005172732311104,559,2589.0
119,BA-FB,SybilGAT_L8,43,0.4757121715171115,0.6014851485148515,0.557002780623445,0.9916623241271496,0.7133352075719239,1029,5607.0
120,BA-FB,SybilRank,44,0.4078053413484434,0.3961698801459093,0.39592582919822406,0.39499739447628973,0.39546106691013433,1341,
121,BA-FB,SybilBelief,44,0.7128743696716362,0.5952318916102136,0.6064046579330422,0.5427305888483586,0.5728035198680049,2179,
122,BA-FB,SybilSCAR,44,0.6352659858040455,0.5409067222511725,0.5520557029177718,0.4338196977592496,0.4858476801867523,1070,
123,BA-FB,SybilGCN_L2_noDropout,44,0.8243942248886675,0.6675351745700886,0.9356368563685636,0.3598228243877019,0.5197591268347761,234,10330.0
124,BA-FB,SybilGCN_L4_noDropout,44,0.7098000180341202,0.5943199583116207,0.6001106194690266,0.5653986451276707,0.5822377247115642,272,16606.0
125,BA-FB,SybilGCN_L8_noDropout,44,0.4705090335801818,0.5,inf,0.0,0.0,417,467.0
126,BA-FB,SybilRGCN_L2_noDropout,44,0.6552748177416758,0.5308754559666493,0.6300768386388584,0.1495570609692548,0.24173510212676352,3415,10745.0
127,BA-FB,SybilGAT_L2,44,0.7577775208675062,0.6513809275664408,0.7338969404186796,0.47498697238144866,0.5767162290414426,350,2080.0
128,BA-FB,SybilGAT_L4,44,0.5871493958906848,0.5758207399687337,0.5467845659163987,0.8861386138613861,0.6762775899781268,568,3401.0
129,BA-FB,SybilGAT_L8,44,0.44806666813375234,0.57686294945284,0.5417020073508623,0.9984366857738406,0.7023460410557185,986,1857.0
130,BA-FB,SybilRank,45,0.42189249028459275,0.41818655549765504,0.4183142559833507,0.41896821261073475,0.41864097891174173,1345,
131,BA-FB,SybilBelief,45,0.7505756114820339,0.6216779572694111,0.61907190209077,0.6326211568525274,0.6257731958762887,2233,
132,BA-FB,SybilSCAR,45,0.6423382174822958,0.5373892652423137,0.5308934337997847,0.6425221469515373,0.5813980902982435,904,
133,BA-FB,SybilGCN_L2_noDropout,45,0.8315023163914154,0.694893173527879,0.84533702677747,0.47707139134966126,0.6099267155229847,231,10063.0
134,BA-FB,SybilGCN_L4_noDropout,45,0.7331046436878954,0.6022668056279312,0.6121108254784348,0.5583637311099531,0.5840032702002997,384,16235.0
135,BA-FB,SybilGCN_L8_noDropout,45,0.6568600365304339,0.616206357477853,0.5727569331158238,0.9147993746743095,0.704454253611557,346,30008.0
136,BA-FB,SybilRGCN_L2_noDropout,45,0.5798477839333398,0.5316571130797291,0.5777351247600768,0.23527879103699845,0.33438252175523053,3531,11389.0
137,BA-FB,SybilGAT_L2,45,0.7766061661366667,0.6628452318916103,0.6786735277301315,0.6185513288170922,0.6472191930207197,352,2007.0
138,BA-FB,SybilGAT_L4,45,0.6246190506635569,0.5384314747264201,0.5544481358434847,0.39134966128191767,0.45883610814113335,572,3163.0
139,BA-FB,SybilGAT_L8,45,0.47885251136158774,0.5802501302761855,0.7575250836120402,0.23606044815007818,0.3599523241954708,1513,5384.0
140,BA-FB,SybilRank,46,0.39808340578346024,0.3388483585200625,0.33964220897070263,0.341323606044815,0.34048083170890187,1331,
141,BA-FB,SybilBelief,46,0.7497362463934057,0.6219385096404377,0.6323529411764706,0.5825951016154247,0.606455112557635,2242,
142,BA-FB,SybilSCAR,46,0.6306958503930574,0.5244919228764982,0.5248677248677248,0.5169359041167274,0.5208716198477291,901,
143,BA-FB,SybilGCN_L2_noDropout,46,0.8268756634450651,0.7029702970297029,0.6950425638457687,0.7232933819697759,0.7088866189989785,234,12170.0
144,BA-FB,SybilGCN_L4_noDropout,46,0.7275742925147797,0.5887180823345493,0.5766719207385724,0.667274622199062,0.618673752868704,446,19128.0
145,BA-FB,SybilGCN_L8_noDropout,46,0.6540516912320767,0.5720427305888484,0.5521402979445597,0.7628973423658155,0.6406301279947489,813,31165.0
146,BA-FB,SybilRGCN_L2_noDropout,46,0.7569995772218641,0.5626628452318916,0.7237209302325581,0.2027097446586764,0.3167107673519235,3621,12870.0
147,BA-FB,SybilGAT_L2,46,0.7624023961473432,0.6436946326211569,0.6651692123390237,0.578686816050026,0.6189215549672565,373,2904.0
148,BA-FB,SybilGAT_L4,46,0.6103919564635986,0.5310057321521626,0.5367283950617284,0.45310057321521624,0.4913817462560045,569,1790.0
149,BA-FB,SybilGAT_L8,46,0.4373465421719812,0.5829859301719645,0.5462062962425649,0.9809796769150599,0.7017053396701146,1051,3977.0
150,PL-BA,SybilRank,42,0.8025129,0.7196842105263158,0.7195455501788344,0.72,0.7197727033568346,1412,
151,PL-BA,SybilBelief,42,0.5116561049999999,0.5,inf,0.0,0.0,1135,
152,PL-BA,SybilSCAR,42,0.70152092,0.6100526315789474,0.6689287445467765,0.4357894736842105,0.5277583019950284,708,
153,PL-BA,SybilGCN_L2_noDropout,42,0.7380594949999999,0.5406315789473685,0.8249158249158249,0.1031578947368421,0.18338323353293412,508,10787.0
154,PL-BA,SybilGCN_L4_noDropout,42,0.783164165,0.6266315789473684,0.8090955806783144,0.3314736842105263,0.47028076463560337,540,18576.0
155,PL-BA,SybilGCN_L8_noDropout,42,0.808330685,0.7113684210526315,0.751,0.632421052631579,0.6866285714285715,614,32017.0
156,PL-BA,SybilRGCN_L2_noDropout,42,0.514710735,0.4306315789473684,0.3616127677446451,0.18126315789473685,0.24148085822465293,2950,12682.0
157,PL-BA,SybilGAT_L2,42,0.7536331999999999,0.634,0.7468968192397207,0.4053684210526316,0.5255185589519651,596,2481.0
158,PL-BA,SybilGAT_L4,42,0.81236923,0.6611052631578948,0.8282221745657302,0.4065263157894737,0.5453646826237379,779,2411.0
159,PL-BA,SybilGAT_L8,42,0.8622077100000001,0.7686842105263157,0.766858337689493,0.7721052631578947,0.7694728560188828,1127,1661.0
160,PL-BA,SybilRank,43,0.79705927,0.7133684210526315,0.7133684210526315,0.7133684210526315,0.7133684210526315,1393,
161,PL-BA,SybilBelief,43,0.51340033,0.5,0.5,1.0,0.6666666666666666,1425,
162,PL-BA,SybilSCAR,43,0.69020734,0.6461052631578947,0.6367757193535672,0.6802105263157895,0.6577768729641694,652,
