,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
243,PL,8000,0.05,0.0,2,SybilGCN_L2_noDropout,0.9520309875,0.005547247625286778,0.5571578947368421,0.02295313182090436,0.99958071278826,0.0008385744234800985,0.11436842105263156,0.045918632118381625,0.20220012248967018,0.07408658645793327,20179.6,1136.3243551028904,,
244,PL,8000,0.05,0.0,2,SybilGCN_L4_noDropout,0.99605745,0.0008007020995273378,0.8494473684210526,0.059286991561564785,0.9978175503216068,0.0030960066393200896,0.7007894736842106,0.12118071027575425,0.8173295736767386,0.08040108488587035,35498.0,1207.367880970833,,
245,PL,8000,0.05,0.0,2,SybilGCN_L8_noDropout,0.9991730750000001,8.120078701900438e-05,0.976421052631579,0.006621650880846237,0.9683914024921615,0.02266149319726422,0.9858947368421053,0.014901895248405805,0.9767223950743759,0.006222602253033342,64674.8,2042.5382640234675,,
246,PL,8000,0.05,0.0,2,SybilRGCN_L2_noDropout,0.9387563625,0.02339342030118162,0.537421052631579,0.021087898093062274,0.9757049486461252,0.03164681590565887,0.07768421052631579,0.044636233620238996,0.14049532557776484,0.07554072712138273,21240.8,667.7458798075808,,
247,PL,8000,0.05,0.0,2,SybilGAT_L2,0.9636608812499998,0.016679715811444343,0.5608421052631579,0.037800833947036316,0.9948539723187612,0.00975993455365831,0.12210526315789474,0.07544237036664077,0.2096102268704057,0.11868146752856547,14561.4,10393.691348120743,,
248,PL,8000,0.05,0.0,2,SybilGAT_L4,0.99455895625,0.0016518665949464858,0.8428947368421053,0.06469296758846096,0.9924073523781253,0.010270353524202545,0.6924736842105264,0.13838939001490708,0.8074011006704156,0.08941314519992032,7160.8,2015.7278983037368,,
249,PL,8000,0.05,0.0,2,SybilGAT_L8,0.9995671125000001,0.0005880652246455631,0.9777631578947368,0.012481287933400715,0.9968829648754987,0.0039372032195798675,0.958578947368421,0.026241790696280003,0.9771475900490735,0.013094298786212927,9157.8,3485.937830770939,,
250,PL,8000,0.05,0.0,4,SybilRank,0.9849958500000001,0.0028480346989195834,0.9359473684210527,0.006524193203217437,0.9351252112336172,0.006644004871669554,0.9368947368421054,0.006444736304829024,0.936008707959376,0.006514366441381127,378.8,1.7204650534085253,,
251,PL,8000,0.05,0.0,4,SybilBelief,0.9835094999999999,0.000747689984218073,0.9399736842105263,0.00278922541099706,0.9459045222402291,0.010326135062103147,0.9336315789473684,0.01571773175152007,0.9395495558364437,0.0035372101425281965,660.6,1.4966629547095764,,
252,PL,8000,0.05,0.0,4,SybilSCAR,0.865226,0.016776634689539206,0.7344736842105263,0.0668074920740924,0.8464271877826771,0.04434909867829355,0.5853684210526315,0.1869691636180799,0.6687466620596314,0.13600604026605415,203.0,57.508260276242055,,
