,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
66,PL,1000,0.05,0.0,4,SybilRGCN_L2_noDropout,43,0.909852,0.5094736842105263,1.0,0.018947368421052633,0.0371900826446281,6053,
67,PL,1000,0.05,0.0,4,SybilGAT_L2,43,0.9370560000000001,0.511578947368421,1.0,0.023157894736842106,0.04526748971193416,4612,
68,PL,1000,0.05,0.0,4,SybilGAT_L4,43,0.968196,0.7242105263157895,0.9953488372093023,0.45052631578947366,0.6202898550724638,1239,
69,PL,1000,0.05,0.0,4,SybilGAT_L8,43,0.9843000000000001,0.8473684210526315,0.9940119760479041,0.6989473684210527,0.8207663782447466,1132,
70,PL,1000,0.05,0.0,4,SybilRank,44,0.9829760000000001,0.9326315789473684,0.9326315789473684,0.9326315789473684,0.9326315789473684,37,
71,PL,1000,0.05,0.0,4,SybilBelief,44,0.9759119999999999,0.8831578947368421,0.8204225352112676,0.9810526315789474,0.8935762224352828,82,
72,PL,1000,0.05,0.0,4,SybilSCAR,44,0.908696,0.5147368421052632,0.5074946466809421,0.9978947368421053,0.6728176011355571,17,
73,PL,1000,0.05,0.0,4,SybilGCN_L2_noDropout,44,0.89984,0.5221052631578947,1.0,0.04421052631578947,0.0846774193548387,5553,
74,PL,1000,0.05,0.0,4,SybilGCN_L4_noDropout,44,0.9442560000000001,0.6094736842105263,1.0,0.21894736842105264,0.3592400690846287,9630,
75,PL,1000,0.05,0.0,4,SybilGCN_L8_noDropout,44,0.9556720000000001,0.86,0.9090909090909091,0.8,0.851063829787234,17822,
76,PL,1000,0.05,0.0,4,SybilRGCN_L2_noDropout,44,0.8968599999999999,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,6236,
77,PL,1000,0.05,0.0,4,SybilGAT_L2,44,0.89714,0.5515789473684211,1.0,0.1031578947368421,0.18702290076335878,1584,
78,PL,1000,0.05,0.0,4,SybilGAT_L4,44,0.968308,0.5905263157894737,1.0,0.18105263157894738,0.3065953654188948,969,
79,PL,1000,0.05,0.0,4,SybilGAT_L8,44,0.984196,0.9073684210526316,0.9754299754299754,0.8357894736842105,0.9002267573696145,1411,
80,PL,1000,0.05,0.0,4,SybilRank,45,0.9820880000000001,0.9315789473684211,0.930672268907563,0.9326315789473684,0.9316508937960042,38,
81,PL,1000,0.05,0.0,4,SybilBelief,45,0.9787399999999999,0.9231578947368421,0.9740566037735849,0.8694736842105263,0.9187986651835373,82,
82,PL,1000,0.05,0.0,4,SybilSCAR,45,0.857868,0.7673684210526316,0.8324607329842932,0.6694736842105263,0.7421236872812136,17,
83,PL,1000,0.05,0.0,4,SybilGCN_L2_noDropout,45,0.877292,0.5063157894736842,1.0,0.01263157894736842,0.02494802494802495,5769,
84,PL,1000,0.05,0.0,4,SybilGCN_L4_noDropout,45,0.928964,0.6905263157894737,0.9641025641025641,0.3957894736842105,0.5611940298507463,9863,
85,PL,1000,0.05,0.0,4,SybilGCN_L8_noDropout,45,0.9298919999999998,0.7315789473684211,0.9661016949152542,0.48,0.6413502109704642,18953,
